query,cold_sec,warm_sec,hot_sec,notes
0,0.014,0.001,0.000,
1,0.204,0.005,0.003,
2,0.658,0.004,0.004,
3,0.675,0.004,0.004,
4,0.479,0.012,0.012,
5,2.088,0.022,0.021,
6,0.179,0.003,0.003,
7,0.254,0.004,0.004,
8,0.950,0.133,0.132,
9,1.262,0.137,0.137,
10,1.498,0.018,0.018,
11,1.516,0.022,0.023,
12,1.753,0.019,0.018,
13,2.319,0.132,0.131,
14,1.953,0.019,0.019,
15,0.521,0.016,0.016,
16,2.161,0.034,0.033,
17,2.170,0.031,0.031,
18,3.187,0.050,0.051,
19,0.449,0.004,0.004,
20,6.697,0.041,0.041,
21,8.399,0.014,0.013,
22,16.006,0.033,0.032,
23,67.955,0.066,0.067,
24,3.128,0.011,0.012,
25,1.742,0.011,0.009,
26,2.256,0.009,0.009,
27,11.263,0.193,0.191,
28,6.967,0.312,0.312,JIT fixed - Q28 working on cudf 26.04 nightly
29,0.505,0.035,0.035,
30,2.875,0.015,0.014,
31,3.468,0.022,0.022,
32,1.538,0.118,0.118,
33,6.760,0.081,0.081,
34,6.754,0.086,0.086,
35,0.463,0.027,0.026,
36,7.122,0.007,0.007,
37,8.132,0.006,0.008,
38,7.119,0.005,0.005,
39,15.024,0.010,0.010,
40,2.471,0.006,0.005,
41,1.756,0.005,0.005,
42,,,,
