query,cold_sec,warm_sec,hot_sec,notes
0,0.011,0.001,0.001,
1,0.201,0.004,0.004,
2,0.641,0.005,0.004,
3,0.466,0.004,0.004,
4,0.467,0.007,0.006,
5,1.907,0.010,0.010,
6,0.180,0.004,0.004,
7,0.251,0.004,0.004,
8,0.903,0.085,0.085,
9,1.215,0.089,0.090,
10,1.452,0.016,0.016,
11,1.489,0.016,0.016,
12,1.665,0.015,0.014,
13,2.174,0.122,0.121,
14,1.813,0.017,0.016,
15,0.485,0.013,0.012,
16,2.052,0.027,0.028,
17,2.030,0.025,0.026,
18,3.055,0.045,0.046,
19,0.444,0.004,0.003,
20,7.355,0.041,0.041,
21,7.636,0.014,0.013,
22,15.481,0.032,0.032,
23,65.861,0.064,0.067,
24,2.328,0.011,0.013,
25,1.584,0.010,0.010,
26,2.134,0.009,0.009,
27,7.243,0.166,0.167,
28,8.216,1.355,1.334,JIT FAILS - Jitify deserialization error in cudf 25.12 stable CPU fallback
29,0.456,0.034,0.034,
30,2.746,0.010,0.010,
31,3.596,0.015,0.014,
32,1.457,0.063,0.063,
33,5.975,0.054,0.055,
34,5.998,0.057,0.057,
35,0.428,0.020,0.020,
36,6.440,0.006,0.007,
37,7.638,0.006,0.006,
38,6.434,0.005,0.005,
39,12.455,0.010,0.008,
40,3.037,0.006,0.005,
41,1.768,0.005,0.004,
42,,,,
