query,cold_sec,warm_sec,hot_sec,notes
0,0.012,0.001,0.000,
1,0.209,0.004,0.003,
2,0.637,0.011,0.004,
3,0.697,0.004,0.004,
4,0.464,0.007,0.007,
5,1.943,0.010,0.010,
6,0.178,0.003,0.004,
7,0.254,0.005,0.004,
8,0.893,0.086,0.084,
9,1.190,0.089,0.089,
10,1.461,0.016,0.016,
11,1.488,0.016,0.016,
12,1.645,0.016,0.015,
13,2.194,0.121,0.122,
14,1.830,0.017,0.016,
15,0.486,0.013,0.012,
16,2.046,0.028,0.028,
17,2.033,0.026,0.025,
18,3.035,0.046,0.045,
19,0.449,0.004,0.004,
20,6.037,0.041,0.041,
21,7.973,0.014,0.013,
22,15.416,0.032,0.031,
23,64.620,0.065,0.066,
24,2.470,0.011,0.012,
25,1.575,0.010,0.010,
26,2.119,0.009,0.009,
27,8.484,0.166,0.166,
28,6.120,0.268,0.267,JIT fixed - null_aware::NO avoids cuda::std::optional NVRTC issue
29,0.443,0.036,0.033,
30,2.759,0.010,0.009,
31,3.602,0.014,0.015,
32,1.463,0.064,0.063,
33,5.942,0.055,0.054,
34,6.001,0.057,0.057,
35,0.446,0.020,0.020,
36,6.396,0.007,0.006,
37,7.609,0.006,0.006,
38,6.409,0.005,0.005,
39,12.484,0.009,0.009,
40,3.065,0.006,0.005,
41,1.803,0.004,0.005,
42,1.165,0.005,0.004,
